timestamp,symbol,strategy,entry_price,portfolio_balance,max_single_position_allowed,max_total_exposure_allowed,current_total_exposure,calculated_quantity,calculated_notional,buffered_max_notional,block_reason
2025-12-05T12:42:29.355Z,EWTUSD,mean_reversion,0.6936929999999999,32000,4800,8000,0,0,87360.00000000073,4656,MAX_POSITION
2025-12-05T12:42:29.400Z,XLTCZUSD,mean_reversion,82.54245999999999,32000,4800,8000,0,0,87359.99999999987,4656,MAX_POSITION
2025-12-05T12:42:30.356Z,AUD/USD,vwap_pullback,0.6642035399999999,32000,4800,8000,0,7009.899405233523,4656,4656,PASS
2025-12-05T12:42:30.380Z,FORTHUSD,mean_reversion,1.7327309999999998,32000,4800,8000,0,0,87360.00000000163,4656,MAX_POSITION
2025-12-05T12:42:31.070Z,MASKEUR,mean_reversion,0.5805799999999999,32000,4800,8000,0,0,87360.00000000077,4656,MAX_POSITION
2025-12-05T12:42:31.682Z,FXSUSD,mean_reversion,0.805805,32000,4800,8000,0,0,87360.00000000052,4656,MAX_POSITION
2025-12-05T12:42:32.025Z,ADA/USD,vwap_pullback,0.43157214099999996,32000,4800,8000,0,10788.462826195262,4656,4656,PASS
2025-12-05T12:42:32.367Z,MASKUSD,mean_reversion,0.67067,32000,4800,8000,0,0,87360.00000000015,4656,MAX_POSITION
2025-12-05T12:42:32.887Z,KSMUSD,mean_reversion,8.448439999999998,32000,4800,8000,0,0,87360.00000000099,4656,MAX_POSITION
2025-12-05T12:42:33.778Z,MEUSD,mean_reversion,0.3322318999999999,32000,4800,8000,0,0,87360.00000000102,4656,MAX_POSITION
2025-12-05T12:42:33.997Z,CRV/USD,vwap_pullback,0.40340299999999996,32000,4800,8000,0,11541.80806786266,4656,4656,PASS
2025-12-05T12:42:34.311Z,LINKEUR,vwap_pullback,12.059677629999998,32000,4800,8000,0,0,47894.38336298224,4656,MAX_POSITION
2025-12-05T12:42:35.340Z,LINKUSD,vwap_pullback,14.035731709999999,32000,4800,8000,0,0,91587.62077825367,4656,MAX_POSITION
2025-12-05T12:42:35.455Z,NANOEUR,mean_reversion,0.707725018,32000,4800,8000,0,0,87360.00000000016,4656,MAX_POSITION
2025-12-05T12:42:36.274Z,SNX/USD,vwap_pullback,0.521521,32000,4800,8000,0,8927.732536177833,4656,4656,PASS
2025-12-05T12:42:36.572Z,LINKUSDC,vwap_pullback,14.02633232,32000,4800,8000,0,0,94208.05248136735,4656,MAX_POSITION
2025-12-05T12:42:36.991Z,NANOUSD,mean_reversion,0.8149261119999999,32000,4800,8000,0,0,87360.00000000073,4656,MAX_POSITION
2025-12-05T12:42:37.876Z,LINKUSDT,vwap_pullback,14.049485449999999,32000,4800,8000,0,0,86031.85022101317,4656,MAX_POSITION
2025-12-05T12:42:37.942Z,ADA/USDT,vwap_pullback,0.43131087999999995,32000,4800,8000,0,10794.997798339797,4656,4656,PASS
2025-12-05T12:42:38.761Z,NOSUSD,mean_reversion,0.266266,32000,4800,8000,0,0,87360.00000000048,4656,MAX_POSITION
2025-12-05T12:42:39.150Z,XLTCZEUR,mean_reversion,70.99091999999999,32000,4800,8000,0,0,87360.00000000196,4656,MAX_POSITION
2025-12-05T12:42:39.495Z,AERO/USD,vwap_pullback,0.6828822,32000,4800,8000,0,6818.159852460644,4656,4656,PASS
2025-12-05T12:42:39.771Z,OPEUR,mean_reversion,0.27357329999999996,32000,4800,8000,0,0,87360.00000000109,4656,MAX_POSITION
2025-12-05T12:42:40.356Z,XLTCZUSD,mean_reversion,82.54245999999999,32000,4800,8000,0,0,87359.99999999987,4656,MAX_POSITION
2025-12-05T12:42:41.294Z,TIA/USD,vwap_pullback,0.6149142999999999,32000,4800,8000,0,7571.786832734254,4656,4656,PASS
2025-12-05T12:42:41.294Z,OPUSD,mean_reversion,0.31791759999999997,32000,4800,8000,0,0,87360.00000000035,4656,MAX_POSITION
2025-12-05T12:42:41.871Z,MASKEUR,mean_reversion,0.5805799999999999,32000,4800,8000,0,0,87360.00000000077,4656,MAX_POSITION
