timestamp,symbol,strategy,stage,block_reason
2025-12-05T09:56:51.120Z,TONUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:51.164Z,AUDUSD,sma_trend_ride,attempt,POSITION_LIMIT
2025-12-05T09:56:52.018Z,CVXUSD,mean_reversion,attempt,
2025-12-05T09:56:52.073Z,TRUMPUSD,mean_reversion,attempt,
2025-12-05T09:56:52.393Z,CVXUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:52.443Z,TRUMPUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:52.921Z,MNTUSD,mean_reversion,attempt,
2025-12-05T09:56:53.298Z,MNTUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:53.425Z,DOTEUR,mean_reversion,attempt,
2025-12-05T09:56:53.808Z,DOTEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:54.246Z,UNIEUR,mean_reversion,attempt,
2025-12-05T09:56:54.313Z,NANOEUR,mean_reversion,attempt,
2025-12-05T09:56:54.607Z,UNIEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:54.684Z,NANOEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:55.211Z,DOTGBP,mean_reversion,attempt,
2025-12-05T09:56:55.602Z,DOTGBP,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:55.675Z,NOSUSD,mean_reversion,attempt,
2025-12-05T09:56:55.849Z,USDCHF,vwap_pullback,attempt,
2025-12-05T09:56:56.055Z,NOSUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:56.223Z,USDCHF,vwap_pullback,attempt,MAX_POSITION
2025-12-05T09:56:56.628Z,DOTUSD,mean_reversion,attempt,
2025-12-05T09:56:57.005Z,DOTUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:57.207Z,WLDEUR,mean_reversion,attempt,
2025-12-05T09:56:57.216Z,OPEUR,mean_reversion,attempt,
2025-12-05T09:56:57.578Z,WLDEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:57.585Z,OPEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:58.132Z,DOTUSDC,mean_reversion,attempt,
2025-12-05T09:56:58.332Z,OPUSD,mean_reversion,attempt,
2025-12-05T09:56:58.498Z,DOTUSDC,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:58.696Z,OPUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:58.854Z,XRPRLUSD,mean_reversion,attempt,
2025-12-05T09:56:59.224Z,XRPRLUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:59.498Z,DOTUSDT,mean_reversion,attempt,
2025-12-05T09:56:59.864Z,DOTUSDT,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:59.907Z,RUNEEUR,mean_reversion,attempt,
2025-12-05T09:57:00.179Z,XTZEUR,mean_reversion,attempt,
2025-12-05T09:57:00.299Z,RUNEEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:00.541Z,XTZEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:00.806Z,XETCZUSD,mean_reversion,attempt,
2025-12-05T09:57:01.051Z,RUNEUSD,mean_reversion,attempt,
2025-12-05T09:57:01.179Z,XETCZUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:01.434Z,RUNEUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:01.739Z,XTZUSD,mean_reversion,attempt,
