timestamp,symbol,strategy,entry_price,portfolio_balance,max_single_position_allowed,max_total_exposure_allowed,current_total_exposure,calculated_quantity,calculated_notional,buffered_max_notional,block_reason
2025-12-05T10:01:02.272Z,EURCAD,vwap_bounce,1.6267250999999998,32000,4800,8000,0,0,229660.78517511568,4656,MAX_POSITION
2025-12-05T10:01:03.019Z,TONEUR,mean_reversion,1.3603589999999999,32000,4800,8000,0,0,87360.0000000007,4656,MAX_POSITION
2025-12-05T10:01:03.259Z,EWTUSD,mean_reversion,0.6906899999999999,32000,4800,8000,0,0,87360.00000000016,4656,MAX_POSITION
2025-12-05T10:01:04.497Z,TONUSD,mean_reversion,1.5845829999999999,32000,4800,8000,0,0,87360.0000000005,4656,MAX_POSITION
2025-12-05T10:01:04.576Z,FORTHUSD,sma_trend_ride,1.740474,32000,4800,8000,0,0,108900.15251254568,4656,MAX_POSITION
2025-12-05T10:01:05.158Z,FORTHUSD,mean_reversion,1.738737,32000,4800,8000,0,0,87360.00000000007,4656,MAX_POSITION
2025-12-05T10:01:05.753Z,TRUMPUSD,mean_reversion,5.9069009999999995,32000,4800,8000,0,0,87360.00000000067,4656,MAX_POSITION
2025-12-05T10:01:06.327Z,KSMEUR,mean_reversion,7.257249999999999,32000,4800,8000,0,0,87360.00000000122,4656,MAX_POSITION
2025-12-05T10:01:07.597Z,KSMUSD,mean_reversion,8.448439999999998,32000,4800,8000,0,0,87360.00000000099,4656,MAX_POSITION
2025-12-05T10:01:07.803Z,UNIEUR,mean_reversion,4.997993,32000,4800,8000,0,0,87360.00000000063,4656,MAX_POSITION
2025-12-05T10:01:08.584Z,LDOEUR,mean_reversion,0.53053,32000,4800,8000,0,0,87360.00000000163,4656,MAX_POSITION
2025-12-05T10:01:09.489Z,WLDEUR,mean_reversion,0.525525,32000,4800,8000,0,0,87360.0000000004,4656,MAX_POSITION
2025-12-05T10:01:09.803Z,LINKEUR,vwap_pullback,12.07418212,32000,4800,8000,0,0,45323.38174981789,4656,MAX_POSITION
2025-12-05T10:01:10.565Z,XRPRLUSD,mean_reversion,2.06594388,32000,4800,8000,0,0,87360.00000000137,4656,MAX_POSITION
2025-12-05T10:01:10.918Z,LINKUSD,vwap_pullback,14.05785381,32000,4800,8000,0,0,80538.66946339088,4656,MAX_POSITION
2025-12-05T10:01:10.930Z,XRP/CAD,vwap_pullback,2.8775847099999994,32000,4800,8000,0,1618.023609807129,4656,4656,PASS
2025-12-05T10:01:11.838Z,XTZEUR,mean_reversion,0.4215210999999999,32000,4800,8000,0,0,87360.00000000051,4656,MAX_POSITION
2025-12-05T10:01:12.312Z,LINKUSDT,vwap_pullback,14.072138079999998,32000,4800,8000,0,0,75129.07806249564,4656,MAX_POSITION
2025-12-05T10:01:12.722Z,SOL/USD,vwap_pullback,136.52638999999996,32000,4800,8000,0,34.10329680584099,4656,4656,PASS
2025-12-05T10:01:13.350Z,XTZUSD,mean_reversion,0.49038989999999993,32000,4800,8000,0,0,87360.00000000131,4656,MAX_POSITION
2025-12-05T10:01:13.516Z,XLTCZEUR,mean_reversion,70.64056999999998,32000,4800,8000,0,0,87360.00000000035,4656,MAX_POSITION
2025-12-05T10:01:14.734Z,XLTCZUSD,mean_reversion,82.22214,32000,4800,8000,0,0,87360.00000000073,4656,MAX_POSITION
