timestamp,elapsedMinutes,phase,feedLatencyMs,cacheWindow,vtsTradeCount,paperTradeCount,openPositions,avgCWQI,avgNGC,avgDI,avgGSI,adaptiveRelevanceVariance,cacheHitRate,riskPerTrade,maxExposure,dynamicSlots,tradingActive
2025-12-29T12:35:03.873Z,12.5,A_VTS,5215,200,240,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:35:18.883Z,12.8,A_VTS,5321,200,240,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:35:33.851Z,13,A_VTS,5293,200,260,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:35:48.857Z,13.3,A_VTS,5287,200,260,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:36:03.869Z,13.5,A_VTS,12716,200,260,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:36:18.887Z,13.8,A_VTS,5217,200,260,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:36:33.885Z,14,A_VTS,4956,200,280,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:36:48.861Z,14.3,A_VTS,5037,200,280,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:37:03.859Z,14.5,A_VTS,4822,200,300,0,42,0.66,0.737,0.714,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:37:18.803Z,14.8,A_VTS,17779,200,300,0,42,0.66,0.737,0.714,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:37:33.874Z,15,A_VTS,4849,200,300,0,42,0.66,0.737,0.714,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:37:48.807Z,15.3,A_VTS,5013,200,300,0,42,0.66,0.737,0.714,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:38:03.812Z,15.5,A_VTS,4816,200,300,0,42,0.66,0.737,0.714,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:38:18.883Z,15.8,A_VTS,5288,200,300,0,42,0.66,0.737,0.714,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:38:33.805Z,16,A_VTS,8585,200,320,0,42,0.66,0.737,0.714,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:38:48.805Z,16.3,A_VTS,5188,200,320,0,42,0.66,0.737,0.714,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:39:03.857Z,16.5,A_VTS,4725,200,340,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:39:18.798Z,16.8,A_VTS,5280,200,340,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:39:33.866Z,17,A_VTS,8572,200,340,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
