symbol,snap_date,prev_day_close,open_24h,daily_gap_pct,category
MCD/USD,2026-05-11,283.6500,284.9900,-0.4702,reverse_gap_up
MCD/USD,2026-05-12,275.7400,275.8000,-0.0218,below_threshold
MCD/USD,2026-05-13,274.5950,278.1200,-1.2674,reverse_gap_up
MCD/USD,2026-05-14,274.8000,274.5000,0.1093,below_threshold
MCD/USD,2026-05-15,275.7000,277.8000,-0.7559,reverse_gap_up
MCD/USD,2026-05-16,274.9750,276.0000,-0.3714,reverse_gap_up
MCD/USD,2026-05-17,274.9750,276.0000,-0.3714,reverse_gap_up
MMM/USD,2026-04-30,143.8800,144.0000,-0.0833,below_threshold
MMM/USD,2026-05-01,143.8800,144.0000,-0.0833,below_threshold
MMM/USD,2026-05-02,146.4800,147.2800,-0.5432,reverse_gap_up
MMM/USD,2026-05-03,146.4800,147.2800,-0.5432,reverse_gap_up
MMM/USD,2026-05-04,146.4800,147.2800,-0.5432,reverse_gap_up
MMM/USD,2026-05-05,142.5600,142.0000,0.3944,regular_quarterly
MMM/USD,2026-05-06,141.5800,142.4000,-0.5758,reverse_gap_up
MMM/USD,2026-05-07,142.8300,145.0000,-1.4966,reverse_gap_up
MMM/USD,2026-05-08,146.5800,146.4300,0.1024,below_threshold
MMM/USD,2026-05-09,143.7200,144.7200,-0.6910,reverse_gap_up
MMM/USD,2026-05-10,143.7200,144.7200,-0.6910,reverse_gap_up
MMM/USD,2026-05-11,143.7200,144.7200,-0.6910,reverse_gap_up
MMM/USD,2026-05-12,143.2600,143.5000,-0.1672,below_threshold
MMM/USD,2026-05-13,143.3200,143.7550,-0.3026,reverse_gap_up
MMM/USD,2026-05-14,143.1600,147.0000,-2.6122,special_gap_up
MMM/USD,2026-05-15,147.1200,148.0400,-0.6215,reverse_gap_up
MMM/USD,2026-05-16,145.1150,144.3800,0.5091,regular_quarterly
MMM/USD,2026-05-17,145.1150,144.3800,0.5091,regular_quarterly
MO/USD,2026-04-30,68.2100,73.8500,-7.6371,special_gap_up
MO/USD,2026-05-01,68.2100,73.8500,-7.6371,special_gap_up
MO/USD,2026-05-02,72.6400,73.4300,-1.0759,reverse_gap_up
MO/USD,2026-05-03,72.6400,73.4300,-1.0759,reverse_gap_up
MO/USD,2026-05-04,72.6400,73.4300,-1.0759,reverse_gap_up
