ID,Symbol,Strategy,SignalType,PatternType,Regime,Pool,EntryPrice,ExitPrice,TakeProfit,StopLoss,ResultType,PositionSize,GrossProfit%,FrictionCost%,NetProfit%,FeesDollar,EntryTimestamp,ExitTimestamp,DurationMin,FinalScore,HybridScore,ExpectedEdge,RegimeWeight,Status
vt_realp_1768891313064_k8173230v,ATOM/EUR,morning_star,PATTERN,MORNING_STAR,BULL_STABLE,rotational,2.140600,2.108260,2.194500,2.108260,stop_loss,N/A,-1.5108,0.7417,-2.2525,1.8543,2026-01-20 03:54:58,2026-01-20 06:41:53,166.9,0.6937,0.8452,0.017762,0.7162,closed
vt_realp_1768891553063_bfsyduqp0,BERA/USD,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,rotational,1.019100,0.952980,1.129300,0.952980,stop_loss,N/A,-6.4881,0.7672,-7.2553,1.9180,2026-01-20 03:55:04,2026-01-20 06:45:53,170.8,0.7177,0.8481,0.100463,0.8620,closed
vt_realp_1768891913067_0vqx2ahpm,ATOM/USD,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,rotational,2.490500,2.449580,2.558700,2.449580,stop_loss,N/A,-1.6430,0.6562,-2.2992,1.6404,2026-01-20 03:54:58,2026-01-20 06:51:53,176.9,0.5919,0.6743,0.020823,0.6861,closed
vt_1768891914759_mw58dz76q,SOL/EUR,defensive_hedge,HYBRID,ENGULFING,BEAR_VOLATILE,ideal,112.710000,114.585000,114.585000,111.585000,take_profit,N/A,1.6636,113.6475,0.6552,1.1365,2026-01-20 06:51:54,2026-01-20 06:53:52,2.0,0.5000,0.5474,0.001940,0.6985,closed
vt_1768881294618_0jcg9pbmg,API3/USD,range_trade,QUANT,,LOW_VOL_CHOP,rotational,0.414800,0.414800,0.424700,0.408860,timeout,N/A,0.0000,0.4148,-1.0000,0.0041,2026-01-20 03:54:54,2026-01-20 06:58:52,184.0,0.4422,0.4760,-0.004193,0.5008,closed
vt_1768881295244_cwz81e4ux,APT/EUR,range_trade,QUANT,,LOW_VOL_CHOP,rotational,1.387400,1.387400,1.413950,1.371470,timeout,N/A,0.0000,1.3874,-1.0000,0.0139,2026-01-20 03:54:55,2026-01-20 06:58:52,184.0,0.5087,0.6167,0.002300,0.5019,closed
vt_1768881295730_0nghyq5cm,APT/USD,range_trade,QUANT,,LOW_VOL_CHOP,rotational,1.608400,1.608400,1.641650,1.588450,timeout,N/A,0.0000,1.6084,-1.0000,0.0161,2026-01-20 03:54:55,2026-01-20 06:58:52,183.9,0.4804,0.5722,0.003232,0.5012,closed
vt_1768881296410_puoe77mx9,AR/USD,pivot_shift,HYBRID,MORNING_STAR,TRANSITION,rotational,3.830000,3.830000,3.925500,3.772700,timeout,N/A,0.0000,3.8300,-1.0000,0.0383,2026-01-20 03:54:56,2026-01-20 06:58:52,183.9,0.4206,0.4513,0.000625,0.4429,closed
vt_1768881297034_wf4fej6ya,ASTER/EUR,range_trade,QUANT,,LOW_VOL_CHOP,rotational,0.538940,0.538940,0.547024,0.534628,timeout,N/A,0.0000,0.5389,-1.0000,0.0054,2026-01-20 03:54:57,2026-01-20 06:58:52,183.9,0.4410,0.4937,-0.004826,0.4871,closed
vt_1768881297423_zqgvlz2im,ASTER/USD,sma_trend_ride,QUANT,,BULL_STABLE,rotational,0.622940,0.618390,0.637440,0.614240,timeout,N/A,-0.7304,0.6207,-1.7268,0.0062,2026-01-20 03:54:57,2026-01-20 06:58:52,183.9,0.6943,0.8010,0.009189,0.6638,closed
vt_1768881298071_nkcvym59v,ATOM/EUR,morning_star,PATTERN,MORNING_STAR,BULL_STABLE,rotational,2.140600,2.120000,2.194500,2.108260,timeout,N/A,-0.9623,2.1303,-1.9575,0.0213,2026-01-20 03:54:58,2026-01-20 06:58:52,183.9,0.6937,0.8452,0.010051,0.7162,closed
vt_1768881298537_o4tyh8sju,ATOM/USD,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,rotational,2.490500,2.470800,2.558700,2.449580,timeout,N/A,-0.7910,2.4806,-1.7871,0.0248,2026-01-20 03:54:58,2026-01-20 06:58:52,183.9,0.5919,0.6743,0.009647,0.6861,closed
vt_1768881298913_ww2gep9er,ATOM/USDT,morning_star,QUANT,MORNING_STAR,TRANSITION,rotational,2.499300,2.499300,2.565500,2.459580,timeout,N/A,0.0000,2.4993,-1.0000,0.0250,2026-01-20 03:54:58,2026-01-20 06:58:52,183.9,0.4348,0.4977,0.004074,0.5539,closed
vt_1768881299576_woba6w837,AUD/USD,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,rotational,0.672360,0.673450,0.682445,0.666981,timeout,N/A,0.1621,0.6729,-0.8387,0.0067,2026-01-20 03:54:59,2026-01-20 06:58:52,183.9,0.6216,0.6748,0.003034,0.8597,closed
vt_1768881300285_srevw79ve,AVAX/EUR,range_trade,QUANT,,LOW_VOL_CHOP,rotational,10.880000,10.880000,11.043200,10.792960,timeout,N/A,0.0000,10.8800,-1.0000,0.1088,2026-01-20 03:55:00,2026-01-20 06:58:52,183.9,0.5451,0.6368,0.000138,0.5159,closed
vt_1768881300665_i6m4iozxc,AVAX/USD,range_trade,QUANT,,LOW_VOL_CHOP,rotational,12.700000,12.700000,12.890500,12.598400,timeout,N/A,0.0000,12.7000,-1.0000,0.1270,2026-01-20 03:55:00,2026-01-20 06:58:52,183.9,0.4665,0.5091,0.000010,0.5163,closed
vt_1768881301308_vt3v954r8,AVNT/USD,liquidity_trap,QUANT,,TRANSITION,rotational,0.286090,0.286090,0.308640,0.272560,timeout,N/A,0.0000,0.2861,-1.0000,0.0029,2026-01-20 03:55:01,2026-01-20 06:58:52,183.9,0.4297,0.4783,0.027111,0.4635,closed
vt_1768881301970_to6tuzxpw,AXS/EUR,sma_trend_ride,QUANT,,BULL_STABLE,rotational,1.712000,1.725000,1.861000,1.622600,timeout,N/A,0.7593,1.7185,-0.2445,0.0172,2026-01-20 03:55:01,2026-01-20 06:58:52,183.8,0.6251,0.6793,0.039354,0.9317,closed
vt_1768881302354_lw2z9r3yt,AXS/USD,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,rotational,1.987000,2.033000,2.173000,1.875400,timeout,N/A,2.3150,2.0100,1.3035,0.0201,2026-01-20 03:55:02,2026-01-20 06:58:52,183.8,0.6944,0.7399,0.057289,0.9309,closed
vt_1768881302735_1cj439c9x,B2/EUR,mean_reversion,QUANT,,BEAR_VOLATILE,rotational,0.672600,0.672600,0.716300,0.646380,timeout,N/A,0.0000,0.6726,-1.0000,0.0067,2026-01-20 03:55:02,2026-01-20 06:58:52,183.8,0.4094,0.4208,0.018905,0.6731,closed
vt_1768881303390_zpaby7sek,B2/USD,mean_reversion,QUANT,,BEAR_VOLATILE,rotational,0.781200,0.781200,0.833900,0.749580,timeout,N/A,0.0000,0.7812,-1.0000,0.0078,2026-01-20 03:55:03,2026-01-20 06:58:52,183.8,0.4072,0.3912,0.019474,0.6363,closed
vt_1768881303974_0cxwyp2te,BAND/USD,mean_reversion,QUANT,,BEAR_VOLATILE,rotational,0.328800,0.328800,0.339800,0.322200,timeout,N/A,0.0000,0.3288,-1.0000,0.0033,2026-01-20 03:55:03,2026-01-20 06:58:52,183.8,0.3777,0.3998,0.003693,0.5000,closed
