ID,Symbol,Strategy,SignalType,PatternType,Regime,Pool,EntryPrice,ExitPrice,TakeProfit,StopLoss,ResultType,GrossProfit%,NetProfit%,Fees,Quantity,GrossProfitValue,NetProfitValue,FinalScore,HybridScore,ExpectedEdge,RegimeWeight,EntryTime,ExitTime,DurationMin,Status
vt_1768889875386_kvy12mwr2,SOL/EUR,mean_reversion,QUANT,,BEAR_VOLATILE,ideal,112.930000,114.623950,114.623950,111.982000,take_profit,0.0001,0.0000,1.13776975,250,0.0150,0.0049,0.4925,0.5269,0.001099,0.7025,2026-01-20 06:17:55,2026-01-20 06:18:52,1.0,closed
vt_1768889876170_a5sm4ojwa,SOL/USDT,mean_reversion,QUANT,,BEAR_VOLATILE,ideal,131.790000,133.766850,133.766850,130.735680,take_profit,0.0000,0.0000,1.32778425,250,0.0150,0.0049,0.4066,0.3993,-0.000177,0.7262,2026-01-20 06:17:56,2026-01-20 06:18:52,0.9,closed
vt_realp_1768889933060_ws5poe3k4,ASTER/USD,sma_trend_ride,QUANT,,BULL_STABLE,rotational,0.622940,0.614240,0.637440,0.614240,stop_loss,-0.0090,-0.0134,1.74312165,250,-0.0140,-0.0209,0.6943,0.8010,0.016304,0.6638,2026-01-20 03:54:57,2026-01-20 06:18:53,143.9,closed
vt_realp_1768889933060_dxwno7646,AVAX/EUR,range_trade,QUANT,,LOW_VOL_CHOP,rotational,10.880000,10.792960,11.043200,10.792960,stop_loss,-0.0003,-0.0006,2.00955882,250,-0.0080,-0.0160,0.5451,0.6368,0.006962,0.5159,2026-01-20 03:55:00,2026-01-20 06:18:53,143.9,closed
vt_realp_1768889933060_mzunxolme,ATOM/EUR,sma_trend_ride,QUANT,,BULL_STABLE,ideal,2.166900,2.126280,2.234600,2.126280,stop_loss,-0.0035,-0.0048,1.78075503,250,-0.0187,-0.0259,0.7214,0.8023,0.024120,0.8582,2026-01-20 04:54:55,2026-01-20 06:18:53,84.0,closed
vt_realp_1768889933060_3ilu1yxg8,ATOM/EUR,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,ideal,2.167400,2.126780,2.235100,2.126780,stop_loss,-0.0035,-0.0048,1.79183518,250,-0.0187,-0.0259,0.6361,0.6952,0.024068,0.8582,2026-01-20 05:00:54,2026-01-20 06:18:53,78.0,closed
vt_realp_1768889933060_2rkp2dint,SOL/USD,defensive_hedge,HYBRID,ENGULFING,BEAR_VOLATILE,ideal,132.440000,131.380480,134.426600,131.380480,stop_loss,-0.0000,-0.0000,1.56887790,250,-0.0080,-0.0143,0.4245,0.3630,0.008724,0.8155,2026-01-20 06:14:54,2026-01-20 06:18:53,4.0,closed
vt_realp_1768889993059_ofw2nap2z,ASTER/EUR,range_trade,QUANT,,LOW_VOL_CHOP,rotational,0.538940,0.534628,0.547024,0.534628,stop_loss,-0.0059,-0.0144,2.86025285,250,-0.0080,-0.0194,0.4410,0.4937,0.003559,0.4871,2026-01-20 03:54:57,2026-01-20 06:19:53,144.9,closed
vt_realp_1768889993059_89d4jodsv,B2/EUR,mean_reversion,QUANT,,BEAR_VOLATILE,rotational,0.672600,0.716300,0.716300,0.646380,take_profit,0.0386,0.0341,1.92358039,250,0.0650,0.0573,0.4094,0.4208,0.057277,0.6731,2026-01-20 03:55:02,2026-01-20 06:19:53,144.8,closed
vt_realp_1768889993059_3fcu3febm,B2/USD,mean_reversion,QUANT,,BEAR_VOLATILE,rotational,0.781200,0.833900,0.833900,0.749580,take_profit,0.0345,0.0304,1.99900577,250,0.0675,0.0595,0.4072,0.3912,0.059464,0.6363,2026-01-20 03:55:03,2026-01-20 06:19:53,144.8,closed
vt_realp_1768889993059_xq6j76k4m,ASTER/USD,liquidity_trap,QUANT,,TRANSITION,ideal,0.618390,0.612558,0.628110,0.612558,stop_loss,-0.0061,-0.0105,1.69970060,250,-0.0094,-0.0162,0.4538,0.4696,0.008919,0.5310,2026-01-20 04:54:56,2026-01-20 06:19:53,84.9,closed
vt_realp_1768889993059_21lcyiw0u,SOL/USDT,mean_reversion,QUANT,,BEAR_VOLATILE,ideal,132.550000,131.489600,134.538250,131.489600,stop_loss,-0.0000,-0.0000,1.58784725,250,-0.0080,-0.0144,0.4854,0.4676,0.008649,0.7357,2026-01-20 06:16:55,2026-01-20 06:19:53,3.0,closed
vt_1768884895608_xbhtakrn9,ATOM/EUR,sma_trend_ride,QUANT,,BULL_STABLE,ideal,2.166900,2.126280,2.234600,2.126280,stop_loss,-0.0035,-0.0053,0.02146590,250,-0.0187,-0.0287,0.7214,0.8023,0.015416,0.8582,2026-01-20 04:54:55,2026-01-20 06:23:52,88.9,closed
vt_1768885254190_fgobahthe,ATOM/EUR,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,ideal,2.167400,2.126780,2.235100,2.126780,stop_loss,-0.0035,-0.0053,0.02147090,250,-0.0187,-0.0286,0.6361,0.6952,0.012701,0.8582,2026-01-20 05:00:54,2026-01-20 06:23:52,83.0,closed
vt_1768889995971_c105x7omi,SOL/EUR,mean_reversion,QUANT,,BEAR_VOLATILE,ideal,112.610000,114.355000,114.355000,111.563000,take_profit,0.0001,0.0000,1.13482500,250,0.0155,0.0054,0.5018,0.5220,0.001398,0.6918,2026-01-20 06:19:55,2026-01-20 06:23:52,3.9,closed
vt_realp_1768891253064_9xxsg71h6,ATOM/USDT,morning_star,QUANT,MORNING_STAR,TRANSITION,rotational,2.499300,2.459580,2.565500,2.459580,stop_loss,-0.0025,-0.0037,1.86104511,250,-0.0159,-0.0233,0.4348,0.4977,0.019043,0.5539,2026-01-20 03:54:58,2026-01-20 06:40:53,165.9,closed
vt_realp_1768891313064_k8173230v,ATOM/EUR,morning_star,PATTERN,MORNING_STAR,BULL_STABLE,rotational,2.140600,2.108260,2.194500,2.108260,stop_loss,-0.0028,-0.0042,1.85434986,250,-0.0151,-0.0225,0.6937,0.8452,0.017762,0.7162,2026-01-20 03:54:58,2026-01-20 06:41:53,166.9,closed
vt_realp_1768891553063_bfsyduqp0,BERA/USD,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,rotational,1.019100,0.952980,1.129300,0.952980,stop_loss,-0.0255,-0.0285,1.91797174,250,-0.0649,-0.0726,0.7177,0.8481,0.100463,0.8620,2026-01-20 03:55:04,2026-01-20 06:45:53,170.8,closed
vt_realp_1768891913067_0vqx2ahpm,ATOM/USD,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,rotational,2.490500,2.449580,2.558700,2.449580,stop_loss,-0.0026,-0.0037,1.64037596,250,-0.0164,-0.0230,0.5919,0.6743,0.020823,0.6861,2026-01-20 03:54:58,2026-01-20 06:51:53,176.9,closed
vt_1768891914759_mw58dz76q,SOL/EUR,defensive_hedge,HYBRID,ENGULFING,BEAR_VOLATILE,ideal,112.710000,114.585000,114.585000,111.585000,take_profit,0.0001,0.0000,1.13647500,250,0.0166,0.0066,0.5000,0.5474,0.001940,0.6985,2026-01-20 06:51:54,2026-01-20 06:53:52,2.0,closed
vt_1768881294618_0jcg9pbmg,API3/USD,range_trade,QUANT,,LOW_VOL_CHOP,rotational,0.414800,0.414800,0.424700,0.408860,timeout,0.0000,-0.0096,0.00414800,250,0.0000,-0.0100,0.4422,0.4760,-0.004193,0.5008,2026-01-20 03:54:54,2026-01-20 06:58:52,184.0,closed
vt_1768881295244_cwz81e4ux,APT/EUR,range_trade,QUANT,,LOW_VOL_CHOP,rotational,1.387400,1.387400,1.413950,1.371470,timeout,0.0000,-0.0029,0.01387400,250,0.0000,-0.0100,0.5087,0.6167,0.002300,0.5019,2026-01-20 03:54:55,2026-01-20 06:58:52,184.0,closed
vt_1768881295730_0nghyq5cm,APT/USD,range_trade,QUANT,,LOW_VOL_CHOP,rotational,1.608400,1.608400,1.641650,1.588450,timeout,0.0000,-0.0025,0.01608400,250,0.0000,-0.0100,0.4804,0.5722,0.003232,0.5012,2026-01-20 03:54:55,2026-01-20 06:58:52,183.9,closed
vt_1768881296410_puoe77mx9,AR/USD,pivot_shift,HYBRID,MORNING_STAR,TRANSITION,rotational,3.830000,3.830000,3.925500,3.772700,timeout,0.0000,-0.0010,0.03830000,250,0.0000,-0.0100,0.4206,0.4513,0.000625,0.4429,2026-01-20 03:54:56,2026-01-20 06:58:52,183.9,closed
vt_1768881297034_wf4fej6ya,ASTER/EUR,range_trade,QUANT,,LOW_VOL_CHOP,rotational,0.538940,0.538940,0.547024,0.534628,timeout,0.0000,-0.0074,0.00538940,250,0.0000,-0.0100,0.4410,0.4937,-0.004826,0.4871,2026-01-20 03:54:57,2026-01-20 06:58:52,183.9,closed
vt_1768881297423_zqgvlz2im,ASTER/USD,sma_trend_ride,QUANT,,BULL_STABLE,rotational,0.622940,0.618390,0.637440,0.614240,timeout,-0.0047,-0.0111,0.00620665,250,-0.0073,-0.0173,0.6943,0.8010,0.009189,0.6638,2026-01-20 03:54:57,2026-01-20 06:58:52,183.9,closed
vt_1768881298071_nkcvym59v,ATOM/EUR,morning_star,PATTERN,MORNING_STAR,BULL_STABLE,rotational,2.140600,2.120000,2.194500,2.108260,timeout,-0.0018,-0.0037,0.02130300,250,-0.0096,-0.0196,0.6937,0.8452,0.010051,0.7162,2026-01-20 03:54:58,2026-01-20 06:58:52,183.9,closed
vt_1768881298537_o4tyh8sju,ATOM/USD,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,rotational,2.490500,2.470800,2.558700,2.449580,timeout,-0.0013,-0.0029,0.02480650,250,-0.0079,-0.0179,0.5919,0.6743,0.009647,0.6861,2026-01-20 03:54:58,2026-01-20 06:58:52,183.9,closed
vt_1768881298913_ww2gep9er,ATOM/USDT,morning_star,QUANT,MORNING_STAR,TRANSITION,rotational,2.499300,2.499300,2.565500,2.459580,timeout,0.0000,-0.0016,0.02499300,250,0.0000,-0.0100,0.4348,0.4977,0.004074,0.5539,2026-01-20 03:54:58,2026-01-20 06:58:52,183.9,closed
vt_1768881299576_woba6w837,AUD/USD,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,rotational,0.672360,0.673450,0.682445,0.666981,timeout,0.0010,-0.0050,0.00672905,250,0.0016,-0.0084,0.6216,0.6748,0.003034,0.8597,2026-01-20 03:54:59,2026-01-20 06:58:52,183.9,closed
vt_1768881300285_srevw79ve,AVAX/EUR,range_trade,QUANT,,LOW_VOL_CHOP,rotational,10.880000,10.880000,11.043200,10.792960,timeout,0.0000,-0.0004,0.10880000,250,0.0000,-0.0100,0.5451,0.6368,0.000138,0.5159,2026-01-20 03:55:00,2026-01-20 06:58:52,183.9,closed
vt_1768881300665_i6m4iozxc,AVAX/USD,range_trade,QUANT,,LOW_VOL_CHOP,rotational,12.700000,12.700000,12.890500,12.598400,timeout,0.0000,-0.0003,0.12700000,250,0.0000,-0.0100,0.4665,0.5091,0.000010,0.5163,2026-01-20 03:55:00,2026-01-20 06:58:52,183.9,closed
