population,asset_class,symbol,horizon_min,valid_origins,potential_row_offset_origins,origins_rejected_for_gaps,signed_endpoint_bps_p10,signed_endpoint_bps_p50,signed_endpoint_bps_p90,signed_endpoint_bps_p99,absolute_endpoint_bps_p10,absolute_endpoint_bps_p50,absolute_endpoint_bps_p90,absolute_endpoint_bps_p99,future_up_excursion_bps_p10,future_up_excursion_bps_p50,future_up_excursion_bps_p90,future_up_excursion_bps_p99,future_down_excursion_bps_p10,future_down_excursion_bps_p50,future_down_excursion_bps_p90,future_down_excursion_bps_p99
xstock_spot; NEE/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,xstock_spot,NEE/USD,240,305,1496,1191,-0.5954442166320462,28.421116284695902,97.00933916328847,114.97840219889697,4.165477677736007,28.421116284695902,97.00933916328847,114.97840219889697,24.98810090433068,63.306258958433226,108.08316369743042,126.68343658182975,4.858864876884361,21.885828925771733,42.80363830925671,67.71517391665735
xstock_spot; NEM/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,xstock_spot,NEM/USD,5,1636,2441,805,-20.151727004748544,0.0,22.011746058113737,65.15931412310779,1.5585428216691177,9.64668999508589,30.96835908394602,69.63290115025134,0.0,8.055422605320883,31.066020114325354,78.618211541063,0.0,8.561644043083572,27.867776358099782,70.21382944711495
xstock_spot; NEM/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,xstock_spot,NEM/USD,15,1507,2431,924,-33.21748801808511,-0.7704753833104316,38.71780751946874,120.52507890182149,3.8827340578011516,17.257294216799224,50.80989027001426,120.52507890182149,1.6106437714205057,15.469100471809938,55.43145018098894,144.61589694882136,1.538769851826327,16.05265270085865,50.45660465301305,90.03650485345875
xstock_spot; NEM/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,xstock_spot,NEM/USD,60,1280,2386,1106,-64.8148478966104,-0.3859215807344718,75.28805382694088,175.77394111958037,5.756913868981362,31.93498707266096,107.79473662825626,182.08116819325605,5.6161745827987275,30.010438958991692,116.28088663193947,248.59102532488055,6.4357876632499265,33.72906010655152,96.4270865480441,155.65576774824413
xstock_spot; NEM/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,xstock_spot,NEM/USD,240,463,2206,1743,-155.6824410482316,-29.867613819825056,168.54247543474446,215.22293870995455,29.875686147884828,107.61845772685241,174.91203042620685,215.22293870995455,9.163479019075549,55.04218561671381,229.1631191179504,289.3443218118375,17.98693804530105,94.69544980338584,200.51797582174703,269.1341491867995
xstock_spot; NET/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,xstock_spot,NET/USD,5,798,1598,800,-42.31932415635908,-2.137817384360585,38.21863031276052,108.64983504986428,3.7213786998702147,18.34181060078155,63.15277609792077,157.0588137450306,-2.842513156267268,13.769371922826013,53.04676270809886,119.0967646481671,-1.0731088683815226,15.08435213575854,56.13755404735945,173.15047587586935
xstock_spot; NET/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,xstock_spot,NET/USD,15,429,1588,1159,-85.4499657145693,-8.523332623056046,44.79268085461374,140.42295215566057,4.3556400372581905,33.13337053571619,97.18379915392904,187.48536808758905,0.9805888662159928,24.955186109452132,84.03086696233817,197.47138316606564,1.9871464664638103,34.13910824511257,152.58165692549764,231.7622515334516
xstock_spot; NET/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,xstock_spot,NET/USD,60,54,1543,1489,-227.36258428404486,31.784601721553948,72.31526593951187,83.23684122333566,6.282622386132866,50.173682575533896,227.362584284045,378.0810924084978,20.837277258809465,62.80594355952074,110.16321782352678,118.09258648621942,-1.4987027005666225,7.101705427675076,306.2662503508579,436.10848746097895
xstock_spot; NET/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,xstock_spot,NET/USD,240,0,1363,1363,,,,,,,,,,,,,,,,
xstock_spot; NFLX/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,xstock_spot,NFLX/USD,5,1657,3095,1438,-19.618451569708206,-1.2140342357658263,17.067409207179647,55.608279253381205,1.237899823389066,7.883087744829931,28.745844558768056,64.94722085514438,0.0,6.330315882763227,23.90393905297783,70.52027831565493,0.43021690926293576,7.904657667517911,27.807668857249503,65.20194250378071
